mm_canvas_draft,画布草稿,元数据对象
branch_id,bigint,分支标识
canvas_id,bigint,画布标识
cn_abbr,character varying(500),中文简称
cn_name,character varying(500),中文名称
create_tm,timestamp without time zone,记录创建时间
creator,bigint,记录创建人
describe,character varying(500),描述
dm_biz_subject_id,bigint,模型业务主题标识
dm_id,bigint,模型标识
en_abbr,character varying(500),英文简称
en_name,character varying(500),英文名称
folder_id,bigint,文件夹标识
if_delete,character varying(1),是否删除记录
modifier,bigint,记录修改人
modify_tm,timestamp without time zone,记录修改时间
seq_num,integer,序号
tenant_id,bigint,租户标识