mm_key_upload_excel,键上传,元数据对象
batch_id,bigint,批次标识
-- conflict_situation_cd,character varying(30),冲突情况代码
-- create_tm,timestamp without time zone,记录创建时间
-- creator,bigint,记录创建人
-- dm_id,bigint,模型标识
entity_id,bigint,实体标识
-- if_delete,character varying(1),是否删除记录
if_single,character varying(1),是否唯一
key_describe,character varying(500),键描述
key_id,bigint,键标识
key_name,character varying(500),键名称
key_type_cd,character varying(30),键类型代码
-- modifier,bigint,记录修改人
-- modify_tm,timestamp without time zone,记录修改时间
-- tenant_id,bigint,租户标识